iso_code,wb_country_name,wb_region,income_group,lending_type,gdp_per_capita_ppp_2021,gdp_per_capita_ppp_2021_year,gdp_per_capita_ppp_2021_lag,urban_population_pct,urban_population_pct_year,urban_population_pct_lag,population_age_65plus_pct,population_age_65plus_pct_year,population_age_65plus_pct_lag,health_expenditure_per_capita_usd,health_expenditure_per_capita_usd_year,health_expenditure_per_capita_usd_lag,uhc_service_coverage_index,uhc_service_coverage_index_year,uhc_service_coverage_index_lag,manufacturing_value_added_pct_gdp,manufacturing_value_added_pct_gdp_year,manufacturing_value_added_pct_gdp_lag,pm25_mean_annual_ug_m3,pm25_mean_annual_ug_m3_year,pm25_mean_annual_ug_m3_lag,log_gdp_per_capita_ppp,log_health_expenditure_per_capita
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,IDA,1981.71016810561,2022.0,0.0,25.3939250580909,2022,0,2.35514236704931,2022,0,80.6516037,2022.0,0.0,,,,10.1902619598408,2022.0,0.0,40.2067792804569,2022.0,0.0,7.592219959544949,4.402461460374845
AGO,Angola,Sub-Saharan Africa ,Lower middle income,IBRD,8750.99363032299,2022.0,0.0,69.0506188977513,2022,0,2.77333855965152,2022,0,103.94506073,2022.0,0.0,,,,6.71647813736907,2022.0,0.0,22.5172239045117,2022.0,0.0,9.077036796864764,4.653436982081485
ALB,Albania,Europe & Central Asia,Upper middle income,IBRD,19388.7927279351,2022.0,0.0,57.8643477747383,2022,0,15.7763381628571,2022,0,506.86920166,2022.0,0.0,,,,7.50461634545543,2022.0,0.0,16.4538233724819,2022.0,0.0,9.872502058542384,6.230223937378332
AND,Andorra,Europe & Central Asia,High income,Not classified,63913.3835079105,2022.0,0.0,88.7548766267286,2022,0,14.9689479957343,2022,0,3190.11328125,2022.0,0.0,,,,3.57566714740944,2022.0,0.0,11.4677282320292,2022.0,0.0,11.065299709056276,8.068125125883162
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,Not classified,70075.63837395,2022.0,0.0,85.5147347682487,2022,0,1.63973912932682,2022,0,2240.9050293,2022.0,0.0,,,,8.54436252357344,2022.0,0.0,67.6947186324117,2022.0,0.0,11.157344756051504,7.715081242922236
ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD,27825.0273492567,2022.0,0.0,92.112838186126,2022,0,12.0340800139112,2022,0,1415.79577637,2022.0,0.0,,,,16.4165686180445,2022.0,0.0,15.8656062718096,2022.0,0.0,10.233727097268323,7.256153105358873
ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD,17886.1783877168,2022.0,0.0,65.5624462874485,2022,0,12.9151582271286,2022,0,674.78619385,2022.0,0.0,,,,11.4321929622965,2022.0,0.0,29.3633535061781,2022.0,0.0,9.791839443980738,6.515876744728507
ATG,Antigua and Barbuda,Latin America & Caribbean ,High income,IBRD,27785.5572316838,2022.0,0.0,24.5114484000414,2022,0,10.728672985782,2022,0,891.00323486,2022.0,0.0,,,,2.70411490543874,2022.0,0.0,7.94265413166136,2022.0,0.0,10.232307629912233,6.793469759098097
AUS,Australia,East Asia & Pacific,High income,Not classified,60029.1329190733,2022.0,0.0,87.3343268253813,2022,0,17.0750320469828,2022,0,6723.98242188,2022.0,0.0,,,,5.28875408553718,2022.0,0.0,5.30273651659332,2022.0,0.0,11.00260193045422,8.813584590619783
AUT,Austria,Europe & Central Asia,High income,Not classified,65694.4591501468,2022.0,0.0,68.998085127906,2022,0,19.7897509199721,2022,0,5897.97607422,2022.0,0.0,,,,16.6515788411782,2022.0,0.0,10.6275168759367,2022.0,0.0,11.092785087170105,8.68253406809046
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD,21051.2442291612,2022.0,0.0,58.4382815854684,2022,0,7.52651403008595,2022,0,261.44659424,2022.0,0.0,,,,5.28338982494195,2022.0,0.0,24.1942721597719,2022.0,0.0,9.95476244763957,5.57004761081853
BDI,Burundi,Sub-Saharan Africa ,Low income,IDA,1028.11134640179,2022.0,0.0,22.3202446002597,2022,0,2.48584998345669,2022,0,25.52155113,2022.0,0.0,,,,11.2360651354458,2022.0,0.0,36.3050025944922,2022.0,0.0,6.936450938339315,3.2779576526720997
BEL,Belgium,Europe & Central Asia,High income,Not classified,62602.9270469765,2022.0,0.0,87.489200269855,2022,0,19.7671927585206,2022,0,5487.59277344,2022.0,0.0,,,,12.5247695210532,2022.0,0.0,10.074123834212,2022.0,0.0,11.044583287500412,8.610427176225835
BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA,3588.32519938147,2022.0,0.0,50.9627000010887,2022,0,3.06253123069402,2022,0,37.76291275,2022.0,0.0,,,,9.82357547560919,2022.0,0.0,41.496929120914,2022.0,0.0,8.185719497068254,3.657463932547883
BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA,2469.19956941259,2022.0,0.0,27.2791369742712,2022,0,2.59465547584363,2022,0,64.38339996,2022.0,0.0,,,,10.2229346053963,2022.0,0.0,41.5553296753411,2022.0,0.0,7.812054223691127,4.180268403002992
BGD,Bangladesh,South Asia,Lower middle income,IDA,7888.16389098304,2022.0,0.0,31.673734726234,2022,0,6.13515765182076,2022,0,56.62142181,2022.0,0.0,,,,21.7648193612213,2022.0,0.0,63.2199514017555,2022.0,0.0,8.973245437500044,4.053894404985405
BGR,Bulgaria,Europe & Central Asia,High income,IBRD,32433.6587569626,2022.0,0.0,73.4799164005224,2022,0,21.6972972212748,2022,0,1066.69189453,2022.0,0.0,,,,,,,22.8155719307165,2022.0,0.0,10.38698284476439,6.973254489631604
